Main crops, Type of ownership , Macroregions  development regions and counties, Years, MU: Hectares, Valoare
Rapeseed, Total, Olt, Year 1996, Hectares, 177
Rapeseed, Total, Olt, Year 1997, Hectares, 980
Rapeseed, Total, Olt, Year 1998, Hectares, 1115
Rapeseed, Total, Olt, Year 1999, Hectares, 4956
Rapeseed, Total, Olt, Year 2000, Hectares, 2480
Rapeseed, Total, Olt, Year 2001, Hectares, 2910
Rapeseed, Total, Olt, Year 2002, Hectares, 3961
Rapeseed, Total, Olt, Year 2003, Hectares, 764
Rapeseed, Total, Olt, Year 2004, Hectares, 1545
Rapeseed, Total, Olt, Year 2005, Hectares, 1300
Rapeseed, Total, Olt, Year 2006, Hectares, 2264
Rapeseed, Total, Olt, Year 2007, Hectares, 11892
Rapeseed, Total, Olt, Year 2008, Hectares, 16559
Rapeseed, Total, Olt, Year 2009, Hectares, 19254
Rapeseed, Total, Olt, Year 2010, Hectares, 30613
Rapeseed, Total, Olt, Year 2011, Hectares, 14143
Rapeseed, Total, Olt, Year 2012, Hectares, 6709
Rapeseed, Total, Olt, Year 2013, Hectares, 8730
Rapeseed, Total, Olt, Year 2014, Hectares, 11072
Rapeseed, Total, Olt, Year 2015, Hectares, 15153
Rapeseed, Total, Olt, Year 2016, Hectares, 17325
Rapeseed, Total, Olt, Year 2017, Hectares, 21536
Rapeseed, Total, Olt, Year 2018, Hectares, 23835
Rapeseed, Total, Olt, Year 2019, Hectares, 10248
Rapeseed, Total, Olt, Year 2020, Hectares, 7511
Rapeseed, Total, Olt, Year 2021, Hectares, 16119
Rapeseed, Total, Olt, Year 2022, Hectares, 20188
Rapeseed, Total, Olt, Year 2023, Hectares, 32605
Rapeseed, Total, Olt, Year 2024, Hectares, 23731
Rapeseed, Total, Giurgiu, Year 1991, Hectares, 60
Rapeseed, Total, Giurgiu, Year 1995, Hectares, 12
Rapeseed, Total, Giurgiu, Year 1997, Hectares, 207
Rapeseed, Total, Giurgiu, Year 1998, Hectares, 680
Rapeseed, Total, Giurgiu, Year 1999, Hectares, 2511
Rapeseed, Total, Giurgiu, Year 2000, Hectares, 3430
Rapeseed, Total, Giurgiu, Year 2001, Hectares, 3235
Rapeseed, Total, Giurgiu, Year 2002, Hectares, 3660
Rapeseed, Total, Giurgiu, Year 2003, Hectares, 1350
Rapeseed, Total, Giurgiu, Year 2004, Hectares, 1524
Rapeseed, Total, Giurgiu, Year 2005, Hectares, 2405
Rapeseed, Total, Giurgiu, Year 2006, Hectares, 3958
Rapeseed, Total, Giurgiu, Year 2007, Hectares, 11036
Rapeseed, Total, Giurgiu, Year 2008, Hectares, 14925
Rapeseed, Total, Giurgiu, Year 2009, Hectares, 17808
Rapeseed, Total, Giurgiu, Year 2010, Hectares, 22787
Rapeseed, Total, Giurgiu, Year 2011, Hectares, 15932
Rapeseed, Total, Giurgiu, Year 2012, Hectares, 4583
Rapeseed, Total, Giurgiu, Year 2013, Hectares, 14731
Rapeseed, Total, Giurgiu, Year 2014, Hectares, 18418
Rapeseed, Total, Giurgiu, Year 2015, Hectares, 13868
Rapeseed, Total, Giurgiu, Year 2016, Hectares, 21490
Rapeseed, Total, Giurgiu, Year 2017, Hectares, 25372
Rapeseed, Total, Giurgiu, Year 2018, Hectares, 27079
Rapeseed, Total, Giurgiu, Year 2019, Hectares, 21963
Rapeseed, Total, Giurgiu, Year 2020, Hectares, 21904
Rapeseed, Total, Giurgiu, Year 2021, Hectares, 30099
Rapeseed, Total, Giurgiu, Year 2022, Hectares, 27859
Rapeseed, Total, Giurgiu, Year 2023, Hectares, 37926
Rapeseed, Total, Giurgiu, Year 2024, Hectares, 28148
Rapeseed, Total, Ialomita, Year 1991, Hectares, 300
